SITEID,LAT,LON
2007190463.0,-18.9003,144.9867
2007190465.0,-19.6303,135.6716
2007190466.0,-32.2845,134.9263
2007190467.0,-16.5157,137.5312
2007190468.0,-17.2643,133.4561
2007190469.0,-32.8544,140.611
2007190471.0,-25.2964,133.1016
2007190472.0,-18.6188,135.4053
2007190473.0,-30.5861,138.0035
2007190474.0,-12.6701,132.2347
2007190475.0,-27.63,114.2488
2007190476.0,-27.3507,145.18
2007190477.0,-25.6829,149.805
2007190478.0,-24.072,144.9693
2007190479.0,-19.4089,132.6305
2007190481.0,-15.253,129.5771
2007190483.0,-23.636,143.8773
2007190484.0,-30.6558,122.534
2007190485.0,-40.9527,148.0165
2007190486.0,-34.126,149.0191
2007190487.0,-20.9677,137.9333
2007190488.0,-36.2457,146.2689
2007190490.0,-29.8712,121.9872
2007190491.0,-33.1367,142.5561
2007190492.0,-30.8345,128.3122
2007190493.0,-37.927,141.2798
2007190494.0,-21.0148,146.8772
2007190495.0,-32.4313,134.0879
2007190496.0,-20.6682,143.8951
2007190497.0,-17.6034,131.5762
2007190498.0,-27.8729,151.5267
2007190499.0,-25.7102,118.0797
2007190501.0,-33.8208,140.0504
2007190502.0,-24.2788,144.3329
2007190503.0,-22.5117,138.4406
2007190505.0,-24.9801,133.9943
2007190506.0,-23.2166,139.5741
2007190507.0,-29.9412,142.7178
2007190508.0,-23.4285,148.1492
2007190509.0,-22.7614,129.7595
2007190510.0,-26.4901,140.2496
2007190511.0,-18.2549,141.1985
2007190512.0,-29.6264,134.8138
2007190513.0,-29.9748,148.1476
2007190514.0,-11.0346,142.6588
2007190515.0,-34.646,143.5629
2007190517.0,-27.7737,121.4367
2007190518.0,-15.3791,142.0264
2007190519.0,-11.6025,142.1365
2007190522.0,-28.4823,139.987
2007190523.0,-29.2169,143.1805
2007190524.0,-30.6163,137.339
2007190525.0,-25.8257,139.4756
2007190526.0,-35.894,150.0639
2007190527.0,-22.6117,140.5627
2007190528.0,-22.2053,114.7849
2007190529.0,-17.291,133.1387
2007190531.0,-20.7066,143.1343
2007190532.0,-30.0094,146.3548
2007190533.0,-26.181,117.9734
2007190534.0,-25.6772,149.2192
2007190535.0,-19.7422,121.2004
2007190536.0,-25.192,137.9373
2007190537.0,-28.6034,150.3721
2007190538.0,-28.3916,150.2732
2007190539.0,-29.9878,150.7771
2007190541.0,-24.9576,114.8066
2007190542.0,-19.6009,145.8901
2007190543.0,-28.3212,141.4085
2007190544.0,-16.7734,138.086
2007190545.0,-35.5777,150.17
2007190546.0,-35.6941,142.6168
2007190547.0,-27.8455,123.7271
2007190548.0,-18.0842,143.9198
2007190549.0,-25.5157,123.0358
2007190550.0,-18.6233,146.0915
2007190551.0,-29.0575,153.3335
2007190552.0,-33.9114,136.413
2007190553.0,-33.4533,150.9036
2007190554.0,-14.1848,129.6513
2007190555.0,-32.0612,125.6238
