lat,lon,catchment_km2,pct_in_domain
26.1535,75.3,228.1,100.0
26.0813,75.46,241.6,100.0
26.0993,75.38,228.1,100.0
26.0993,75.36,228.1,100.0
26.0993,75.34,228.1,100.0
26.0993,75.32,228.1,100.0
26.0993,75.3,228.1,100.0
26.0993,75.28,228.1,100.0
24.1717,73.9947,239.2,100.0
26.0993,75.26,228.1,100.0
26.0813,75.4967,241.6,100.0
26.0813,75.48,241.6,100.0
26.0813,75.44,241.6,100.0
26.0993,75.46,241.6,100.0
26.6333,75.94,235.7,100.0
26.0813,75.4,228.1,100.0
26.0813,75.38,228.1,100.0
26.0813,75.36,228.1,100.0
26.0813,75.34,228.1,100.0
26.0813,75.32,228.1,100.0
26.0813,75.3,228.1,100.0
26.0813,75.28,228.1,100.0
26.0813,75.26,228.1,100.0
26.0632,75.4967,241.6,100.0
26.0993,75.44,241.6,100.0
26.0993,75.48,241.6,100.0
26.6333,75.96,107.8,100.0
26.1174,75.4967,241.6,100.0
26.1535,75.28,228.1,100.0
26.1535,75.26,228.1,100.0
26.1354,75.4967,241.6,100.0
26.1354,75.48,241.6,100.0
26.1354,75.3,228.1,100.0
26.6333,75.84,128.2,100.0
26.6333,75.86,128.2,100.0
26.6333,75.88,235.7,100.0
26.1354,75.28,228.1,100.0
26.1354,75.26,228.1,100.0
26.1174,75.48,241.6,100.0
26.0993,75.4967,241.6,100.0
26.1174,75.46,241.6,100.0
26.1174,75.38,228.1,100.0
26.1174,75.36,228.1,100.0
26.6333,75.9,235.7,100.0
26.6333,75.92,235.7,100.0
26.1174,75.34,228.1,100.0
26.1174,75.32,228.1,100.0
26.1174,75.3,228.1,100.0
26.1174,75.28,228.1,100.0
26.1174,75.26,228.1,100.0
26.0632,75.48,241.6,100.0
26.6333,75.98,409.8,100.0
25.6359,74.5099,400.8,100.0
26.0271,75.38,228.1,100.0
24.494,73.9376,209.0,100.0
26.0998,74.86,190.8,100.0
26.0998,74.84,190.8,100.0
25.6174,74.5098,400.8,100.0
26.0998,74.82,190.8,100.0
26.0998,74.8,190.8,100.0
26.0271,75.4,228.1,100.0
24.4757,73.9971,209.0,100.0
24.4757,73.9774,209.0,100.0
24.4757,73.9574,209.0,100.0
26.0998,74.78,190.8,100.0
24.494,73.9774,209.0,100.0
26.6511,75.84,128.2,100.0
26.0816,74.9,190.8,100.0
26.0816,74.88,190.8,100.0
26.0816,74.86,190.8,100.0
24.4578,73.9971,209.0,100.0
24.4578,73.9774,209.0,100.0
24.4578,73.9574,209.0,100.0
26.0816,74.84,190.8,100.0
26.0816,74.82,190.8,100.0
26.0816,74.8,190.8,100.0
24.494,73.9574,209.0,100.0
24.494,73.9971,209.0,100.0
26.6333,76.0,409.8,100.0
26.1179,74.82,190.8,100.0
