lat,lon,catchment_km2,pct_in_domain
25.5089,74.4944,109.7,100.0
25.5269,74.4559,116.6,100.0
25.5269,74.4755,116.6,100.0
25.5269,74.4944,116.6,100.0
25.9757,74.9931,185.9,100.0
25.7771,74.9931,737.6,100.0
25.7771,74.9787,737.6,100.0
25.9937,74.8992,185.9,100.0
25.5992,74.4944,116.6,100.0
25.759,74.9787,737.6,100.0
25.759,74.9931,737.6,100.0
25.5089,74.8395,231.4,100.0
25.5089,74.8196,231.4,100.0
25.5089,74.7997,231.4,100.0
25.5089,74.7798,231.4,100.0
25.5089,74.7599,231.4,100.0
25.9937,74.9931,185.9,100.0
25.9937,74.9787,185.9,100.0
25.9937,74.9588,185.9,100.0
25.9937,74.9389,185.9,100.0
25.7771,74.8793,105.7,100.0
25.7771,74.8992,105.7,100.0
25.7771,74.9191,105.7,100.0
25.7771,74.9389,105.7,100.0
25.5811,74.4944,116.6,100.0
25.7771,74.9588,737.6,100.0
25.9937,74.9191,185.9,100.0
25.5811,74.9389,515.9,100.0
25.5811,74.9787,515.9,100.0
25.6906,74.7798,204.2,100.0
25.6543,74.7997,531.5,100.0
25.1894,74.2428,112.3,100.0
25.6543,74.8395,531.5,100.0
25.6543,74.8196,531.5,100.0
25.2764,74.379,271.1,100.0
25.2764,74.359,271.1,100.0
25.2764,74.339,271.1,100.0
25.2764,74.3,162.6,100.0
25.2764,74.28,162.6,100.0
25.2764,74.26,162.6,100.0
25.6543,74.7798,145.1,100.0
25.6543,74.8594,531.5,100.0
25.6543,74.7599,204.2,100.0
25.6362,74.9931,515.9,100.0
25.2592,74.419,271.1,100.0
25.2592,74.399,271.1,100.0
25.2592,74.379,271.1,100.0
25.2592,74.359,271.1,100.0
25.2592,74.339,162.6,100.0
25.2592,74.32,162.6,100.0
25.2592,74.3,162.6,100.0
25.1894,74.2275,112.3,100.0
25.6543,74.8793,531.5,100.0
25.5992,74.7599,145.1,100.0
25.6722,74.8395,531.5,100.0
25.6906,74.7599,204.2,100.0
25.6722,74.9931,660.2,100.0
25.6722,74.9787,515.9,100.0
25.6722,74.9588,515.9,100.0
25.6722,74.9389,515.9,100.0
25.6722,74.9191,531.5,100.0
25.6722,74.8992,531.5,100.0
25.6722,74.8793,531.5,100.0
25.6722,74.8594,531.5,100.0
25.6722,74.8196,531.5,100.0
25.6543,74.8992,531.5,100.0
25.1714,74.2428,112.3,100.0
25.6722,74.7997,531.5,100.0
25.6722,74.7798,204.2,100.0
25.6722,74.7599,204.2,100.0
25.6543,74.9931,660.2,100.0
25.6543,74.9787,515.9,100.0
25.6543,74.9588,515.9,100.0
25.6543,74.9389,515.9,100.0
25.6543,74.9191,515.9,100.0
25.2592,74.28,162.6,100.0
25.2592,74.26,162.6,100.0
25.6362,74.9787,515.9,100.0
25.5992,74.9787,515.9,100.0
25.6172,74.8395,136.8,100.0
25.6172,74.8196,136.8,100.0
25.6172,74.7997,531.5,100.0
25.6172,74.7798,531.5,100.0
25.6172,74.7599,145.1,100.0
25.2436,74.2078,162.6,100.0
25.2436,74.2275,162.6,100.0
25.2436,74.2428,162.6,100.0
25.5992,74.9931,515.9,100.0
25.5992,74.9588,515.9,100.0
25.6362,74.9588,515.9,100.0
25.5992,74.9389,515.9,100.0
25.5992,74.9191,515.9,100.0
25.5992,74.8992,515.9,100.0
25.5992,74.8793,136.8,100.0
25.5992,74.8594,136.8,100.0
25.5992,74.8395,136.8,100.0
25.5992,74.8196,136.8,100.0
25.5992,74.7997,136.8,100.0
25.5992,74.7798,531.5,100.0
25.6172,74.8594,515.9,100.0
25.6172,74.8793,515.9,100.0
25.6172,74.8992,515.9,100.0
25.6172,74.9389,515.9,100.0
25.6362,74.9389,515.9,100.0
25.6362,74.9191,515.9,100.0
25.2075,74.2078,162.6,100.0
25.2075,74.2275,112.3,100.0
25.2075,74.2428,112.3,100.0
25.6362,74.8992,515.9,100.0
25.6362,74.8793,531.5,100.0
25.6362,74.8594,531.5,100.0
25.6362,74.8395,531.5,100.0
25.6362,74.8196,531.5,100.0
25.6362,74.7997,531.5,100.0
25.6362,74.7798,145.1,100.0
25.6362,74.7599,145.1,100.0
25.6172,74.9931,515.9,100.0
25.6172,74.9787,515.9,100.0
25.2255,74.2078,162.6,100.0
25.2255,74.2275,162.6,100.0
25.2255,74.2428,162.6,100.0
25.6172,74.9588,515.9,100.0
25.458,74.57,109.7,100.0
25.545,74.4755,116.6,100.0
25.4397,74.7601,231.4,100.0
25.5633,74.5895,204.2,100.0
25.5633,74.7446,136.8,100.0
25.5633,74.729,136.8,100.0
25.5634,74.7089,136.8,100.0
25.5634,74.6892,145.1,100.0
25.5634,74.6693,145.1,100.0
25.5633,74.6493,145.1,100.0
25.5634,74.6293,145.1,100.0
25.5634,74.6095,204.2,100.0
25.5634,74.5697,204.2,100.0
25.5815,74.5297,116.6,100.0
25.5634,74.5498,116.6,100.0
25.5633,74.5297,116.6,100.0
25.5634,74.5099,116.6,100.0
25.5452,74.7446,136.8,100.0
25.5452,74.7289,136.8,100.0
25.5452,74.7089,136.8,100.0
25.5453,74.6892,136.8,100.0
25.5452,74.6692,145.1,100.0
25.5814,74.5099,116.6,100.0
25.5814,74.5498,116.6,100.0
25.85,75.19,199.0,100.0
25.5997,74.5099,116.6,100.0
25.5996,74.6693,145.1,100.0
25.5997,74.6494,204.2,100.0
25.5996,74.6295,204.2,100.0
25.5996,74.6096,204.2,100.0
25.5996,74.5895,204.2,100.0
25.5997,74.5695,116.6,100.0
25.5998,74.5498,116.6,100.0
25.5997,74.5297,116.6,100.0
25.5815,74.7446,531.5,100.0
25.5814,74.5697,204.2,100.0
25.5816,74.7289,145.1,100.0
25.5815,74.7089,145.1,100.0
25.5815,74.6893,145.1,100.0
25.5815,74.6693,145.1,100.0
25.5815,74.6494,145.1,100.0
25.5816,74.6294,204.2,100.0
25.5816,74.6095,204.2,100.0
25.5816,74.5895,204.2,100.0
25.5453,74.6494,145.1,100.0
25.5453,74.6293,145.1,100.0
25.5454,74.6094,145.1,100.0
25.83,75.15,199.0,100.0
25.5092,74.6293,145.1,100.0
25.83,75.07,199.0,100.0
